file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,67,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,8
style.css,68,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,6
style.css,69,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,13
style.css,70,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,30
style.css,71,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,19
style.css,72,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,73,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,7
style.css,74,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,19
style.css,75,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,76,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,77,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,78,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,10
style.css,79,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,13
style.css,80,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,59
style.css,81,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,8
style.css,82,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,83,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,84,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,8
style.css,85,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,13
style.css,86,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,27
style.css,87,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,16
style.css,88,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,3
style.css,89,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,9
style.css,90,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,91,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,92,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,93,css,4cb63946,SY-42,2025-02-14,23:20:24,-08:00,2025-02-14T23:20:24-08:00,0,16
style.css,94,css,4cb63946,SY-42,2025-02-14,23:20:24,-08:00,2025-02-14T23:20:24-08:00,0,13
style.css,95,css,4cb63946,SY-42,2025-02-14,23:20:24,-08:00,2025-02-14T23:20:24-08:00,0,0
style.css,96,css,4cb63946,SY-42,2025-02-14,23:20:24,-08:00,2025-02-14T23:20:24-08:00,0,0
style.css,97,css,4cb63946,SY-42,2025-02-14,23:20:24,-08:00,2025-02-14T23:20:24-08:00,0,0
style.css,98,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,3
style.css,99,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,15
style.css,100,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,101,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,102,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,2
style.css,103,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,16
style.css,104,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,18
style.css,105,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,106,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,0
style.css,107,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,8
style.css,108,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,17
style.css,109,css,27d90ddc,SY-42,2025-01-18,22:44:15,-08:00,2025-01-18T22:44:15-08:00,0,26
